Nome;CPF;SkinColor;Sexo;Idade;isPDL;Crime;Cela
Cristiano ROnaldo;99922277720;vermelho;m;98;1;correu;0
Uiler;11122233344;azul;m;90;1;futebol;0
Marcos;88844411122;azul;m;28;1;furto;0
Thiago;88855500011;amarelo;m;18;1;fuga;0
Daniel;88802200011;amarelo;m;38;1;fuga;0
Thiago;88822277711;amarelo;m;38;1;fuga;0
Roberto;88822222211;amarelo;m;58;1;fuga;0
Tulio;22277733309;verde;m;30;1;furto;0
Yudi;99900011134;vermelho;m;46;1;estelionato;0
Carlos;99900023376;verde;m;20;1;Furto;0
Davy Jones;99988877766;azul;m;42;1;Estelionato assalto;5
Carlos Henrique;71899922202;verde;m;20;1;Furto;7
Samuel;75214565815;nn;m;79;1;usou do seu direito;8
